"Pokémon","Objeto","Habilidad","Teratipo","Mov1","Mov2","Mov3","Mov4","Torneo","Nombre","cluster"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Sludge Bomb","Earth Power","Spiky Shield","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Ghost","Surging Strikes","Close Combat","Aqua Jet","U-turn","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Stellar","Surging Strikes","Close Combat","Aqua Jet","U-turn","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Shadow Ball","Calm Mind","Protect","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Shadow Ball","Calm Mind","Protect","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Horn Leech","Ivy Cudgel","Swords Dance","Spiky Shield","regional-charlotte","Don Czech","Articuno Offense"
"Kingambit","Assault Vest","Defiant","Dragon","Kowtow Cleave","Sucker Punch","Low Kick","Iron Head","regional-charlotte","Don Czech","Articuno Offense"
"Articuno","Never-Melt Ice","Snow Cloak","Fire","Tailwind","Freeze-Dry","Blizzard","Protect","regional-charlotte","Don Czech","Articuno Offense"
"Ninetales-Alola","Light Clay","Snow Warning","Water","Icy Wind","Aurora Veil","Moonblast","Encore","regional-charlotte","Don Czech","Articuno Offense"
"Magmar","Eviolite","Flame Body","Grass","Taunt","Overheat","Follow Me","Protect","regional-charlotte","Don Czech","Articuno Offense"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Protect","Sludge Bomb","Sandsear Storm","regional-charlotte","Don Czech","Articuno Offense"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Emir Abdulovski","Articuno Offense"
"Arcanine-Hisui","Choice Band","Intimidate","Ghost","Flare Blitz","Rock Slide","Extreme Speed","Head Smash","special-utrecht","Emir Abdulovski","Articuno Offense"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","special-utrecht","Emir Abdulovski","Articuno Offense"
"Articuno","Choice Specs","Snow Cloak","Ice","Blizzard","Ice Beam","Freeze-Dry","Sheer Cold","special-utrecht","Emir Abdulovski","Articuno Offense"
"Ninetales-Alola","Light Clay","Snow Warning","Fire","Blizzard","Moonblast","Aurora Veil","Helping Hand","special-utrecht","Emir Abdulovski","Articuno Offense"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Thunderclap","Draco Meteor","Electroweb","Snarl","special-utrecht","Emir Abdulovski","Articuno Offense"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","special-utrecht","Nikhil Reddy","Articuno Offense"
"Ninetales-Alola","Light Clay","Snow Warning","Fire","Blizzard","Moonblast","Aurora Veil","Helping Hand","special-utrecht","Nikhil Reddy","Articuno Offense"
"Arcanine-Hisui","Choice Band","Intimidate","Ghost","Flare Blitz","Rock Slide","Head Smash","Extreme Speed","special-utrecht","Nikhil Reddy","Articuno Offense"
"Articuno","Choice Specs","Snow Cloak","Ice","Blizzard","Ice Beam","Freeze-Dry","Sheer Cold","special-utrecht","Nikhil Reddy","Articuno Offense"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Sludge Bomb","Substitute","Protect","special-utrecht","Nikhil Reddy","Articuno Offense"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Electroweb","Draco Meteor","Thunderclap","Snarl","special-utrecht","Nikhil Reddy","Articuno Offense"
"Articuno","Rocky Helmet","Snow Cloak","Dragon","Sheer Cold","Freeze-Dry","Tailwind","Roost","regional-liverpool","Ross Stewart","Articuno Offense"
"Ninetales-Alola","Light Clay","Snow Warning","Ghost","Moonblast","Icy Wind","Aurora Veil","Blizzard","regional-liverpool","Ross Stewart","Articuno Offense"
"Arcanine-Hisui","Choice Band","Intimidate","Fairy","Flare Blitz","Rock Slide","Extreme Speed","Tera Blast","regional-liverpool","Ross Stewart","Articuno Offense"
"Kingambit","Assault Vest","Defiant","Dragon","Kowtow Cleave","Sucker Punch","Iron Head","Low Kick","regional-liverpool","Ross Stewart","Articuno Offense"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","regional-liverpool","Ross Stewart","Articuno Offense"
"Landorus","Life Orb","Sheer Force","Poison","Earth Power","Sludge Bomb","Substitute","Protect","regional-liverpool","Ross Stewart","Articuno Offense"
"Arcanine-Hisui","Choice Band","Intimidate","Ghost","Rock Slide","Flare Blitz","Extreme Speed","Head Smash","regional-goiânia","Sebastian Escalante","Articuno Offense"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","Electroweb","Snarl","Draco Meteor","Thunderclap","regional-goiânia","Sebastian Escalante","Articuno Offense"
"Ninetales-Alola","Light Clay","Snow Warning","Fire","Blizzard","Aurora Veil","Moonblast","Helping Hand","regional-goiânia","Sebastian Escalante","Articuno Offense"
"Landorus","Life Orb","Sheer Force","Steel","Protect","Earth Power","Sludge Bomb","Substitute","regional-goiânia","Sebastian Escalante","Articuno Offense"
"Articuno","Choice Specs","Snow Cloak","Ice","Blizzard","Freeze-Dry","Ice Beam","Sheer Cold","regional-goiânia","Sebastian Escalante","Articuno Offense"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Spiky Shield","Ivy Cudgel","Horn Leech","Follow Me","regional-goiânia","Sebastian Escalante","Articuno Offense"
"Chien-Pao","Focus Sash","Sword of Ruin","Stellar","Ice Spinner","Sucker Punch","Sacred Sword","Protect","SpearPillar S/V Cart Tour #18","sirox","Articuno Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Grass","Surging Strikes","Close Combat","Aqua Jet","U-turn","SpearPillar S/V Cart Tour #18","sirox","Articuno Offense"
"Articuno","Choice Specs","Snow Cloak","Ice","Blizzard","Ice Beam","Freeze-Dry","Sheer Cold","SpearPillar S/V Cart Tour #18","sirox","Articuno Offense"
"Garchomp","Clear Amulet","Rough Skin","Steel","Earthquake","Dragon Claw","Iron Head","Protect","SpearPillar S/V Cart Tour #18","sirox","Articuno Offense"
"Tornadus","Rocky Helmet","Prankster","Ghost","Bleakwind Storm","Tailwind","Taunt","Protect","SpearPillar S/V Cart Tour #18","sirox","Articuno Offense"
"Ninetales-Alola","Light Clay","Snow Warning","Fire","Blizzard","Moonblast","Aurora Veil","Helping Hand","SpearPillar S/V Cart Tour #18","sirox","Articuno Offense"
"Ninetales-Alola","Light Clay","Snow Warning","Fire","Icy Wind","Moonblast","Aurora Veil","Helping Hand","SpearPillar S/V Cart Tour #18","striider","Articuno Offense"
"Articuno","Choice Specs","Snow Cloak","Ice","Blizzard","Freeze-Dry","Ice Beam","Sheer Cold","SpearPillar S/V Cart Tour #18","striider","Articuno Offense"
"Heatran","Safety Goggles","Flash Fire","Fairy","Flamethrower","Flash Cannon","Earth Power","Protect","SpearPillar S/V Cart Tour #18","striider","Articuno Offense"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Wood Hammer","Grassy Glide","High Horsepower","Fake Out","SpearPillar S/V Cart Tour #18","striider","Articuno Offense"
"Raging Bolt","Leftovers","Protosynthesis","Fairy","Thunderclap","Dragon Pulse","Calm Mind","Protect","SpearPillar S/V Cart Tour #18","striider","Articuno Offense"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Steel","Surging Strikes","Close Combat","Aqua Jet","U-turn","SpearPillar S/V Cart Tour #18","striider","Articuno Offense"
"Urshifu","Assault Vest","Unseen Fist","Poison","Wicked Blow","Sucker Punch","Close Combat","Poison Jab","HIMMY BURNT GLIZZY TOUR #27 (100$ FOR 1ST)","yukiko","Articuno Offense"
"Articuno","Never-Melt Ice","Snow Cloak","Ice","Freeze-Dry","Haze","Blizzard","Tailwind","HIMMY BURNT GLIZZY TOUR #27 (100$ FOR 1ST)","yukiko","Articuno Offense"
"Arcanine-Hisui","Clear Amulet","Intimidate","Water","Rock Slide","Extreme Speed","Flare Blitz","Protect","HIMMY BURNT GLIZZY TOUR #27 (100$ FOR 1ST)","yukiko","Articuno Offense"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Ivy Cudgel","Horn Leech","Follow Me","Spiky Shield","HIMMY BURNT GLIZZY TOUR #27 (100$ FOR 1ST)","yukiko","Articuno Offense"
"Ninetales-Alola","Covert Cloak","Snow Cloak","Fire","Moonblast","Aurora Veil","Encore","Icy Wind","HIMMY BURNT GLIZZY TOUR #27 (100$ FOR 1ST)","yukiko","Articuno Offense"
"Landorus","Life Orb","Sheer Force","Steel","Earth Power","Substitute","Sludge Bomb","Protect","HIMMY BURNT GLIZZY TOUR #27 (100$ FOR 1ST)","yukiko","Articuno Offense"
"Ogerpon","Covert Cloak","Defiant","Grass","Ivy Cudgel","Spiky Shield","Follow Me","Superpower","regional-portland","Carson Confer","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Wave Crash","Earthquake","Protect","Order Up","regional-portland","Carson Confer","Dondozo-Tatsu"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Spiky Shield","Mortal Spin","Sludge Bomb","regional-portland","Carson Confer","Dondozo-Tatsu"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Ice Spinner","Sucker Punch","Sacred Sword","Protect","regional-portland","Carson Confer","Dondozo-Tatsu"
"Tatsugiri","Choice Scarf","Commander","Steel","Muddy Water","Draco Meteor","Icy Wind","Dragon Pulse","regional-portland","Carson Confer","Dondozo-Tatsu"
"Dragonite","Choice Band","Inner Focus","Normal","Extreme Speed","Outrage","Aerial Ace","Earthquake","regional-portland","Carson Confer","Dondozo-Tatsu"
"Ogerpon","Covert Cloak","Defiant","Grass","Ivy Cudgel","Superpower","Follow Me","Spiky Shield","regional-portland","Chuppa Cross IV","Dondozo-Tatsu"
"Dragonite","Choice Band","Inner Focus","Normal","Extreme Speed","Outrage","Aerial Ace","Earthquake","regional-portland","Chuppa Cross IV","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Wave Crash","Earthquake","Order Up","Protect","regional-portland","Chuppa Cross IV","Dondozo-Tatsu"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Ice Spinner","Sucker Punch","Sacred Sword","Protect","regional-portland","Chuppa Cross IV","Dondozo-Tatsu"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Sludge Bomb","Mortal Spin","Spiky Shield","regional-portland","Chuppa Cross IV","Dondozo-Tatsu"
"Tatsugiri","Choice Scarf","Commander","Steel","Muddy Water","Draco Meteor","Icy Wind","Dragon Pulse","regional-portland","Chuppa Cross IV","Dondozo-Tatsu"
"Dondozo","Leftovers","Unaware","Grass","Order Up","Wave Crash","Earthquake","Protect","regional-knoxville","Dalton Kizer","Dondozo-Tatsu"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Icicle Crash","Sacred Sword","Sucker Punch","Protect","regional-knoxville","Dalton Kizer","Dondozo-Tatsu"
"Tatsugiri","Choice Scarf","Commander","Dragon","Icy Wind","Muddy Water","Draco Meteor","Dragon Pulse","regional-knoxville","Dalton Kizer","Dondozo-Tatsu"
"Ogerpon","Covert Cloak","Defiant","Grass","Ivy Cudgel","Superpower","Quick Attack","Spiky Shield","regional-knoxville","Dalton Kizer","Dondozo-Tatsu"
"Dragonite","Choice Band","Inner Focus","Normal","Outrage","Extreme Speed","Earthquake","Aerial Ace","regional-knoxville","Dalton Kizer","Dondozo-Tatsu"
"Glimmora","Power Herb","Toxic Debris","Grass","Mortal Spin","Meteor Beam","Sludge Bomb","Spiky Shield","regional-knoxville","Dalton Kizer","Dondozo-Tatsu"
"Dragonite","Assault Vest","Inner Focus","Fairy","Ice Spinner","Extreme Speed","Earthquake","Outrage","regional-liverpool","Darren Chi hung Tang","Dondozo-Tatsu"
"Urshifu","Choice Scarf","Unseen Fist","Dark","Wicked Blow","Sucker Punch","Close Combat","U-turn","regional-liverpool","Darren Chi hung Tang","Dondozo-Tatsu"
"Tatsugiri","Focus Sash","Commander","Steel","Muddy Water","Protect","Taunt","Draco Meteor","regional-liverpool","Darren Chi hung Tang","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Earthquake","Wave Crash","Protect","Order Up","regional-liverpool","Darren Chi hung Tang","Dondozo-Tatsu"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Mortal Spin","Sludge Bomb","Spiky Shield","regional-liverpool","Darren Chi hung Tang","Dondozo-Tatsu"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Ivy Cudgel","Horn Leech","Swords Dance","Spiky Shield","regional-liverpool","Darren Chi hung Tang","Dondozo-Tatsu"
"Urshifu","Focus Sash","Unseen Fist","Stellar","Wicked Blow","Sucker Punch","Close Combat","Detect","regional-liverpool","Joan Perelló","Dondozo-Tatsu"
"Tatsugiri","Life Orb","Commander","Steel","Draco Meteor","Muddy Water","Dragon Pulse","Protect","regional-liverpool","Joan Perelló","Dondozo-Tatsu"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Icy Wind","Misty Terrain","Protect","regional-liverpool","Joan Perelló","Dondozo-Tatsu"
"Tornadus","Covert Cloak","Prankster","Steel","Bleakwind Storm","Tailwind","Taunt","Protect","regional-liverpool","Joan Perelló","Dondozo-Tatsu"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Sludge Bomb","Earth Power","Spiky Shield","regional-liverpool","Joan Perelló","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Wave Crash","Order Up","Earthquake","Protect","regional-liverpool","Joan Perelló","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Wave Crash","Order Up","Earthquake","Protect","regional-liverpool","Marc Seguí Coll","Dondozo-Tatsu"
"Tornadus","Covert Cloak","Prankster","Steel","Tailwind","Bleakwind Storm","Taunt","Protect","regional-liverpool","Marc Seguí Coll","Dondozo-Tatsu"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Sludge Bomb","Earth Power","Spiky Shield","regional-liverpool","Marc Seguí Coll","Dondozo-Tatsu"
"Urshifu","Focus Sash","Unseen Fist","Stellar","Wicked Blow","Sucker Punch","Close Combat","Detect","regional-liverpool","Marc Seguí Coll","Dondozo-Tatsu"
"Tatsugiri","Life Orb","Commander","Steel","Draco Meteor","Dragon Pulse","Muddy Water","Protect","regional-liverpool","Marc Seguí Coll","Dondozo-Tatsu"
"Flutter Mane","Booster Energy","Protosynthesis","Fairy","Moonblast","Misty Terrain","Icy Wind","Protect","regional-liverpool","Marc Seguí Coll","Dondozo-Tatsu"
"Tatsugiri-Stretchy","Choice Scarf","Commander","Steel","Draco Meteor","Muddy Water","Icy Wind","Sleep Talk","regional-knoxville","Rushil Thakkar","Dondozo-Tatsu"
"Ogerpon-Wellspring","Wellspring Mask","Water Absorb","Water","Spiky Shield","Follow Me","Ivy Cudgel","Horn Leech","regional-knoxville","Rushil Thakkar","Dondozo-Tatsu"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Protect","Sacred Sword","Sucker Punch","Ice Spinner","regional-knoxville","Rushil Thakkar","Dondozo-Tatsu"
"Gholdengo","Choice Specs","Good as Gold","Fairy","Make It Rain","Shadow Ball","Focus Blast","Trick","regional-knoxville","Rushil Thakkar","Dondozo-Tatsu"
"Dragonite","Choice Band","Inner Focus","Normal","Extreme Speed","Stomping Tantrum","Aqua Jet","Outrage","regional-knoxville","Rushil Thakkar","Dondozo-Tatsu"
"Dondozo","Clear Amulet","Unaware","Grass","Protect","Earthquake","Wave Crash","Order Up","regional-knoxville","Rushil Thakkar","Dondozo-Tatsu"
"Dragonite","Choice Band","Inner Focus","Normal","Stomping Tantrum","Outrage","Extreme Speed","Iron Head","special-utrecht","Salvatore Rega","Dondozo-Tatsu"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Protect","Icicle Crash","Sucker Punch","Sacred Sword","special-utrecht","Salvatore Rega","Dondozo-Tatsu"
"Chi-Yu","Choice Scarf","Beads of Ruin","Ghost","Heat Wave","Dark Pulse","Overheat","Snarl","special-utrecht","Salvatore Rega","Dondozo-Tatsu"
"Tatsugiri-Stretchy","Sitrus Berry","Commander","Steel","Muddy Water","Draco Meteor","Helping Hand","Protect","special-utrecht","Salvatore Rega","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Protect","Wave Crash","Earthquake","Order Up","special-utrecht","Salvatore Rega","Dondozo-Tatsu"
"Flutter Mane","Choice Specs","Protosynthesis","Fairy","Moonblast","Dazzling Gleam","Shadow Ball","Thunderbolt","special-utrecht","Salvatore Rega","Dondozo-Tatsu"
"Ogerpon","Covert Cloak","Defiant","Grass","Ivy Cudgel","Superpower","Follow Me","Spiky Shield","regional-portland","Zach Droegkamp","Dondozo-Tatsu"
"Chien-Pao","Focus Sash","Sword of Ruin","Ghost","Ice Spinner","Sacred Sword","Sucker Punch","Protect","regional-portland","Zach Droegkamp","Dondozo-Tatsu"
"Glimmora","Power Herb","Toxic Debris","Grass","Meteor Beam","Sludge Bomb","Mortal Spin","Spiky Shield","regional-portland","Zach Droegkamp","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Order Up","Wave Crash","Rock Slide","Protect","regional-portland","Zach Droegkamp","Dondozo-Tatsu"
"Dragonite","Choice Band","Inner Focus","Normal","Extreme Speed","Outrage","Earthquake","Aerial Ace","regional-portland","Zach Droegkamp","Dondozo-Tatsu"
"Tatsugiri-Stretchy","Choice Scarf","Commander","Steel","Muddy Water","Draco Meteor","Icy Wind","Protect","regional-portland","Zach Droegkamp","Dondozo-Tatsu"
"Dondozo","Rocky Helmet","Unaware","Grass","Wave Crash","Order Up","Earthquake","Protect","Pokemon Day Week x Nino FF #85","cucumbercat","Dondozo-Tatsu"
