Torneo,Tipo_Torneo,Nombre,Nacionalidad,0_Pokémon,0_Objeto,0_Habilidad,0_Teratipo,0_Mov1,0_Mov2,0_Mov3,0_Mov4,1_Pokémon,1_Objeto,1_Habilidad,1_Teratipo,1_Mov1,1_Mov2,1_Mov3,1_Mov4,2_Pokémon,2_Objeto,2_Habilidad,2_Teratipo,2_Mov1,2_Mov2,2_Mov3,2_Mov4,3_Pokémon,3_Objeto,3_Habilidad,3_Teratipo,3_Mov1,3_Mov2,3_Mov3,3_Mov4,4_Pokémon,4_Objeto,4_Habilidad,4_Teratipo,4_Mov1,4_Mov2,4_Mov3,4_Mov4,5_Pokémon,5_Objeto,5_Habilidad,5_Teratipo,5_Mov1,5_Mov2,5_Mov3,5_Mov4,Ronda_1,Resultado_1,Ronda_2,Resultado_2,Ronda_3,Resultado_3,Ronda_4,Resultado_4,Ronda_5,Resultado_5,Ronda_6,Resultado_6,Ronda_7,Resultado_7,Ronda_8,Resultado_8,Ronda_9,Resultado_9,Ronda_10,Resultado_10,Ronda_11,Resultado_11,Ronda_12,Resultado_12,Ronda_13,Resultado_13,Ronda_14,Resultado_14,Ronda_15,Resultado_15,Ronda_16,Resultado_16,Ronda_17,Resultado_17,Enfrentamientos,Equipo,Wins,Losses
special-utrecht,Oficial,Yvar Vlieger,NL,Whimsicott, Covert Cloak,Prankster,Water,Moonblast,Tailwind,Encore,Light Screen,Archaludon,Assault Vest,Stamina,Water,Flash Cannon,Breaking Swipe,Body Press,Snarl,Flutter Mane, Booster Energy,Protosynthesis,Fairy,Dazzling Gleam,Shadow Ball,Taunt,Protect,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Rock Slide,Flare Blitz,Extreme Speed,Tera Blast,Ninetales-Alola, Life Orb,Snow Warning,Ice,Blizzard,Freeze-Dry,Dazzling Gleam,Protect,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Detect,Juan Francisco Alcaraz Paterna ,Win,Sten Schram ,Win,Francisco Garví ,Win,Philipp Gohmann ,Win,Patrick Bakker ,Win,Nikhil Reddy ,Win,Joan Poyato Barberá ,Win,Riccardo Stellini ,Loss,Francesco Pio Pero ,Win,Nikhil Reddy ,Loss,Rafael Sadowski ,Loss,Jan Altisent Brescó ,Win,Alex DellaPasqua ,Win,Alex Gómez Berna ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/299,https://pokepast.es/e6a30b64bd1a425d,11,3
special-utrecht,Oficial,Forhad Chodhoury,ES,Farigiraf, Sitrus Berry,Armor Tail,Fire,Hyper Voice,Helping Hand,Psychic,Trick Room,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Aqua Jet,Arcanine-Hisui,Choice Band,Intimidate,Normal,Rock Slide,Flare Blitz,Extreme Speed,Head Smash,Ursaluna-Bloodmoon,Life Orb,Mindâ€™s Eye,Normal,Protect,Hyper Voice,Earth Power,Blood Moon,Ogerpon,Rocky Helmet,Defiant,Grass,Spiky Shield,Ivy Cudgel,Follow Me,Stomping Tantrum,Chien-Pao, Focus Sash,Sword of Ruin,Stellar,Protect,Ice Spinner,Sucker Punch,Sacred Sword,Sandro Presta ,Win,Alessandro Caliri ,Win,Bowei Zhang ,Win,Andreas Erdmann ,Loss,Alberto Fornaini ,Win,Carmine Ragone ,Win,Víctor García Quintana ,Win,Kevin Salvetto ,Loss,Anthony MAGAIL ,Win,Jan Altisent Brescó ,Loss,Francesco Pio Pero ,Win,Justin De Backer ,Win,Adam Cherfaoui ,Win,Akram Hamdi ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/208,https://pokepast.es/00f6f430550b6668,11,3
special-utrecht,Oficial,Javier Señorena,ES,Rillaboom, Assault Vest,Grassy Surge,Grass,U-turn,Wood Hammer,Fake Out,Grassy Glide,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sucker Punch,Crunch,Protect,Incineroar, Sitrus Berry,Intimidate,Ghost,Fake Out,Flare Blitz,Parting Shot,Throat Chop,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Raging Bolt,Leftovers,Protosynthesis,Fairy,- Thunderclap,Calm Mind,Protect,Dragon Pulse,Daniel Pioppi ,Win,Jonas Nienhüser ,Loss,Niels de Jong ,Win,Bart van Oekel ,Win,Sven Kracht ,Win,Christos Santas ,Win,Sebastian Liu Li ,Win,Rob Akershoek ,Win,Adam Cherfaoui ,Win,Aurélien Soula ,Loss,Shengyu Wang ,Win,Iker Rodrigo ,Loss,Domenico Vaccariello ,Loss,Emilio Dominguez ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/600,https://pokepast.es/0426fcd1fe29ddfe,10,4
special-utrecht,Oficial,Rafael Sadowski,DE,Ninetales-Alola, Light Clay,Snow Warning,Water,Freeze-Dry,Aurora Veil,Dazzling Gleam,Icy Wind,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Annihilape, Sitrus Berry,Defiant,Steel,Rage Fist,Drain Punch,Bulk Up,Protect,Goodra-Hisui,Leftovers,Sap Sipper,Water,Heavy Slam,Body Press,Shelter,Life Dew,Arcanine-Hisui,Choice Band,Intimidate,Normal,Rock Slide,Flare Blitz,Extreme Speed,Head Smash,Rillaboom, Assault Vest,Grassy Surge,Fairy,Wood Hammer,Grassy Glide,Fake Out,U-turn,Benjamin Thanner ,Win,Charel Schroeder ,Win,Patrick Fischer ,Loss,Archie Maltman-McAuley ,Win,Federico Paolucci ,Win,Giuseppe Musicco ,Win,Pierre Coste ,Win,Bowei Zhang ,Win,Leonardo Bonanomi ,Win,Michael Kelsch ,Loss,Yvar Vlieger ,Win,Rayan GUEZI ,Loss,Kylian Duquesne ,Loss,Louis Markl ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/155,https://pokepast.es/ac033bc3695ae369,10,4
special-utrecht,Oficial,Sven van der Voorden,NL,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Close Combat,Surging Strikes,Aqua Jet,U-turn,Rillaboom,Miracle Seed,Grassy Surge,Fire,Grassy Glide,Fake Out,Wood Hammer,Taunt,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Grassy Glide,Ivy Cudgel,Swords Dance,Spiky Shield,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Electroweb,Thunderclap,Draco Meteor,Snarl,Incineroar, Safety Goggles,Intimidate,Ghost,Flare Blitz,Fake Out,Will-O-Wisp,Parting Shot,Landorus, Life Orb,Sheer Force,Steel,Earth Power,Sludge Bomb,Substitute,Protect,Eloy Hahn ,Win,Thomas Visscher ,Win,Bartosz Ekiert ,Loss,michel boldewijn ,Win,Baris “BillaVGC” Akcos ,Win,Danilo Modugno ,Win,Davide Carrer ,Loss,Jeffrey van Rossum ,Win,Livio Sandberg ,Win,Akram Hamdi ,Win,Adam Cherfaoui ,Loss,Carlos Cabal ,Win,Rayan GUEZI ,Loss,Oliver Marek ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/434,https://pokepast.es/b22b26936e56996d,10,4
special-utrecht,Oficial,Alex Gómez Berna,ES,Volcarona, Sitrus Berry,Flame Body,Fairy,Protect,Quiver Dance,Heat Wave,Tera Blast,Rillaboom, Assault Vest,Grassy Surge,Fire,Grassy Glide,Wood Hammer,U-turn,Fake Out,Incineroar, Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Will-O-Wisp,Flare Blitz,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Raging Bolt,Leftovers,Protosynthesis,Fairy,Protect,Calm Mind,Dragon Pulse,Thunderclap,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Protect,Sucker Punch,Icicle Crash,Sacred Sword,Andreas Zahn ,Win,Maarten den Haan ,Win,Rani De Schoenmacker ,Win,Shengyu Wang ,Win,Domenico Vaccariello ,Win,Joseph Martin ,Win,Leonardo Bonanomi ,Loss,Davide Carrer ,Win,Francesco Deiana ,Win,Riccardo Stellini ,Loss,Jan Altisent Brescó ,Win,Víctor Medina ,Loss,Louis Markl ,Win,Yvar Vlieger ,Loss,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/226,https://pokepast.es/0dbf6f56449f136c,10,4
special-utrecht,Oficial,Alex DellaPasqua,IT,Archaludon,Assault Vest,Stamina,Fairy,Flash Cannon,Draco Meteor,Electro Shot,Body Press,Ursaluna, Flame Orb,Guts,Ghost,Protect,Facade,Headlong Rush,Shadow Claw,Incineroar, Safety Goggles,Intimidate,Water,Flare Blitz,Parting Shot,Fake Out,Taunt,Amoonguss, Sitrus Berry,Regenerator,Water,Pollen Puff,Rage Powder,Bullet Seed,Spore,Pelipper, Rocky Helmet,Drizzle,Steel,Weather Ball,Tailwind,Protect,Hurricane,Dusclops, Eviolite,Pressure,Grass,Night Shade,Pain Split,Haze,Trick Room,Carlos Cabal ,Loss,Alistair Groves ,Win,Antonio Marco Rodrigo Jiménez ,Win,Peter Blokker ,Win,Aitzol Robles ,Win,Jared Bilton ,Win,Louis Markl ,Win,Nick Mandoeng ,Win,Michael Kelsch ,Loss,Giulio Tarlao ,Win,Nikhil Reddy ,Loss,Eric Rios ,Win,Yvar Vlieger ,Loss,Pierre Coste ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/180,https://pokepast.es/dc00723785bdadc9,10,4
special-utrecht,Oficial,Adam Cherfaoui,FR,Rillaboom, Assault Vest,Grassy Surge,Fire,Wood Hammer,U-turn,Grassy Glide,Fake Out,Landorus, Life Orb,Sheer Force,Poison,Earth Power,Substitute,Sludge Bomb,Protect,Raging Bolt,Leftovers,Protosynthesis,Fairy,Dragon Pulse,Thunderclap,Calm Mind,Protect,Chien-Pao, Clear Amulet,Sword of Ruin,Fire,Icicle Crash,Sacred Sword,Sucker Punch,Protect,Incineroar, Safety Goggles,Intimidate,Ghost,Flare Blitz,Taunt,Fake Out,Parting Shot,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Steel,Surging Strikes,U-turn,Close Combat,Coaching,Dariush Sprenger ,Win,Muhammed Kucuksu ,Win,Xavier Vazquez Ripoll ,Win,Mark Mullender ,Loss,Kusha Kanani ,Win,Patrick Bakker ,Win,Leon Hudert ,Win,Karl Akpovi ,Win,Javier Señorena ,Loss,Hsuan-Chih Kuo ,Win,Sven van der Voorden ,Win,Michael Kelsch ,Loss,Forhad Chodhoury ,Loss,Laura Schmenk ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/489,https://pokepast.es/58f790a673932742,10,4
special-utrecht,Oficial,Domenico Vaccariello,IT,Flutter Mane, Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind,Registeel, Leftovers,Clear Body,Fairy,Body Press,Heavy Slam,Iron Defense,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Draco Meteor,Thunderclap,Electroweb,Snarl,Incineroar, Sitrus Berry,Intimidate,Ghost,Flare Blitz,Taunt,Parting Shot,Fake Out,Cresselia, Safety Goggles,Levitate,Fairy,Ice Beam,Skill Swap,Lunar Blessing,Trick Room,Urshifu, Focus Sash,Unseen Fist,Dark,Wicked Blow,Sucker Punch,Close Combat,Protect,Giorgio Ciantelli ,Win,Ciske Slothouber ,Win,Joan Garcia ,Win,Nicola Gianola ,Win,Alex Gómez Berna ,Loss,Emanuele quagliani ,Loss,Francesco Ferrini ,Win,Valentijn Visser ,Win,Deniz Mimaroglu ,Win,Riccardo Minardi ,Win,Laura Schmenk ,Win,Emir Abdulovski ,Loss,Javier Señorena ,Win,Nikhil Reddy ,Loss,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/404,https://pokepast.es/ff1f94921ea165fd,10,4
special-utrecht,Oficial,Eric Rios,ES,Raging Bolt,Leftovers,Protosynthesis,Fairy,Protect,Calm Mind,Thunderclap,Dragon Pulse,Urshifu-Rapid-Strike, Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Incineroar, Safety Goggles,Intimidate,Ghost,Flare Blitz,Fake Out,Parting Shot,Will-O-Wisp,Volcarona, Sitrus Berry,Flame Body,Fairy,Protect,Quiver Dance,Heat Wave,Tera Blast,Rillaboom, Assault Vest,Grassy Surge,Fire,Wood Hammer,Fake Out,Grassy Glide,U-turn,Chien-Pao, Focus Sash,Sword of Ruin,Ghost,Protect,Sucker Punch,Icicle Crash,Sacred Sword,Regino Domínguez ,Win,Ryan Powney ,Win,Joris Andonyadis ,Win,Abtin Ghaad Amini ,Loss,Xavier Vazquez Ripoll ,Win,Akram Hamdi ,Loss,Rahim Farzan ,Win,Simone Sanvito ,Win,Víctor García Quintana ,Win,Iker Rodrigo ,Loss,Riccardo Minardi ,Win,Alex DellaPasqua ,Loss,Francesco Pio Pero ,Win,Mark Cotter ,Win,,,,,,,https://standings.stalruth.dev/2024/special-utrecht/masters/44,https://pokepast.es/e8d58fd375fa0916,10,4
