Pokemon_1,Objeto_1,Habilidad_1,Teratipo_1,Mov1_1,Mov2_1,Mov3_1,Mov4_1,Pokemon_2,Objeto_2,Habilidad_2,Teratipo_2,Mov1_2,Mov2_2,Mov3_2,Mov4_2,Pokemon_3,Objeto_3,Habilidad_3,Teratipo_3,Mov1_3,Mov2_3,Mov3_3,Mov4_3,Pokemon_4,Objeto_4,Habilidad_4,Teratipo_4,Mov1_4,Mov2_4,Mov3_4,Mov4_4,Pokemon_5,Objeto_5,Habilidad_5,Teratipo_5,Mov1_5,Mov2_5,Mov3_5,Mov4_5,Pokemon_6,Objeto_6,Habilidad_6,Teratipo_6,Mov1_6,Mov2_6,Mov3_6,Mov4_6
Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Detect,Sucker Punch,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Icy Wind,Protect,Tornadus,Rocky Helmet,Prankster,Ghost,Tailwind,Bleakwind Storm,Sunny Day,Taunt,Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Spiky Shield,Earth Power,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Protect
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Perish Song,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Follow Me,Ivy Cudgel,Horn Leech,Kingambit,Black Glasses,Defiant,Dark,Protect,Sucker Punch,Swords Dance,Kowtow Cleave,Landorus,Life Orb,Sheer Force,Poison,Protect,Earth Power,Sludge Bomb,Sandsear Storm,Gouging Fire,Booster Energy,Protosynthesis,Grass,Burning Bulwark,Breaking Swipe,Heat Crash,Snarl,Amoonguss,Sitrus Berry,Regenerator,Water,Protect,Rage Powder,Spore,Pollen Puff
Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Sacred Sword,Sucker Punch,Protect,Ice Spinner,Gouging Fire,Booster Energy,Protosynthesis,Grass,Heat Crash,Breaking Swipe,Howl,Protect,Amoonguss,Sitrus Berry,Regenerator,Fairy,Spore,Rage Powder,Pollen Puff,Grass Knot,Kingambit,Black Glasses,Defiant,Poison,Kowtow Cleave,Sucker Punch,Protect,Iron Head,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield,Dragonite,Assault Vest,Inner Focus,Normal,Aerial Ace,Thunder Punch,Stomping Tantrum,Extreme Speed
Chien-Pao,Focus Sash,Sword of Ruin,Stellar,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Gholdengo,Metal Coat,Good as Gold,Steel,Protect,Nasty Plot,Shadow Ball,Make It Rain,Raging Bolt,Booster Energy,Protosynthesis,Electric,Thunderclap,Protect,Thunderbolt,Draco Meteor,Rillaboom,Miracle Seed,Grassy Surge,Fire,Grassy Glide,Fake Out,High Horsepower,Wood Hammer,Entei,Sitrus Berry,Inner Focus,Normal,Sacred Fire,Extreme Speed,Stomping Tantrum,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Follow Me,Horn Leech
Raging Bolt,Booster Energy,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Sucker Punch,Sacred Sword,Protect,Incineroar,Assault Vest,Intimidate,Fairy,Fake Out,Knock Off,Flare Blitz,U-turn,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Perish Song,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Horn Leech,Spiky Shield
Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Trick Room,Recover,Incineroar,Sitrus Berry,Intimidate,Ghost,Flare Blitz,Knock Off,Parting Shot,Fake Out,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Urshifu-Rapid-Strike,Focus Sash,Unseen Fist,Stellar,Close Combat,Surging Strikes,Aqua Jet,Detect,Amoonguss,Rocky Helmet,Regenerator,Water,Pollen Puff,Spore,Rage Powder,Protect,Gholdengo,Metal Coat,Good as Gold,Dragon,Make It Rain,Shadow Ball,Nasty Plot,Protect
Amoonguss,Sitrus Berry,Regenerator,Dark,Pollen Puff,Rage Powder,Spore,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Detect,Wicked Blow,Close Combat,Sucker Punch,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Icy Wind,Shadow Ball,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Extreme Speed,Rock Slide,Head Smash,Flare Blitz,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Tailwind,Taunt,Protect,Raging Bolt,Assault Vest,Protosynthesis,Grass,Electroweb,Snarl,Dragon Pulse,Thunderclap
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Porygon2,Eviolite,Download,Poison,Tera Blast,Ice Beam,Recover,Trick Room,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Dazzling Gleam,Moonblast,Perish Song,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark,Kingambit,Black Glasses,Defiant,Dark,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower
Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Shadow Ball,Icy Wind,Protect,Pelipper,Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Wide Guard,Tailwind,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet,Archaludon,Assault Vest,Stamina,Grass,Body Press,Heavy Slam,Electro Shot,Dragon Pulse,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Glaive Rush,Icicle Crash,Ice Shard,Protect
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Follow Me,Spiky Shield,Power Whip,Tornadus,Rocky Helmet,Prankster,Ghost,Bleakwind Storm,Protect,Tailwind,Icy Wind,Kingambit,Assault Vest,Defiant,Fairy,Sucker Punch,Iron Head,Assurance,Low Kick,Glimmora,Power Herb,Toxic Debris,Grass,Sludge Bomb,Earth Power,Spiky Shield,Meteor Beam,Landorus,Life Orb,Sheer Force,Steel,Protect,Earth Power,Sandsear Storm,Sludge Bomb,Scream Tail,Booster Energy,Protosynthesis,Ghost,Protect,Encore,Dazzling Gleam,Disable
Glimmora,Power Herb,Toxic Debris,Grass,Meteor Beam,Sludge Bomb,Earth Power,Spiky Shield,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Protect,Chi-Yu,Choice Specs,Beads of Ruin,Fire,Heat Wave,Dark Pulse,Snarl,Overheat,Tornadus,Rocky Helmet,Prankster,Ghost,Sunny Day,Bleakwind Storm,Tailwind,Taunt,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Protect,Icy Wind,Dazzling Gleam
Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Taunt,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Pollen Puff,Rage Powder,Protect,Landorus,Life Orb,Sheer Force,Poison,Sludge Bomb,Substitute,Earth Power,Protect,Raging Bolt,Assault Vest,Protosynthesis,Fairy,Thunderclap,Dragon Pulse,Electroweb,Snarl,Incineroar,Rocky Helmet,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Steel,Surging Strikes,U-turn,Aqua Jet,Close Combat
Pelipper,Focus Sash,Drizzle,Stellar,Hurricane,Weather Ball,Tailwind,Wide Guard,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet,Archaludon,Assault Vest,Stamina,Grass,Body Press,Heavy Slam,Electro Shot,Dragon Pulse,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Parting Shot,Flare Blitz,Knock Off,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Protect,Amoonguss,Sitrus Berry,Regenerator,Steel,Spore,Pollen Puff,Rage Powder,Protect
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Dazzling Gleam,Moonblast,Shadow Ball,Icy Wind,Amoonguss,Sitrus Berry,Regenerator,Dark,Spore,Rage Powder,Pollen Puff,Protect,Pelipper,Focus Sash,Drizzle,Ghost,Wide Guard,Hurricane,Weather Ball,Tailwind,Archaludon,Assault Vest,Stamina,Fairy,Body Press,Heavy Slam,Electro Shot,Dragon Pulse,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Poison,Surging Strikes,Close Combat,U-turn,Aqua Jet,Baxcalibur,Clear Amulet,Thermal Exchange,Poison,Glaive Rush,Icicle Crash,Ice Shard,Protect
Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Grassy Glide,Wood Hammer,Follow Me,Rillaboom,Clear Amulet,Grassy Surge,Fire,Wood Hammer,High Horsepower,Fake Out,Grassy Glide,Urshifu,Choice Band,Unseen Fist,Grass,Wicked Blow,Close Combat,Sucker Punch,Iron Head,Farigiraf,Safety Goggles,Armor Tail,Fire,Hyper Voice,Psyshock,Helping Hand,Trick Room,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Hyper Voice,Earth Power,Blood Moon,Sleep Talk,Smeargle,Focus Sash,Technician,Grass,Spore,Follow Me,Fake Out,Decorate
Kingambit,Black Glasses,Defiant,Dragon,Sucker Punch,Iron Head,Kowtow Cleave,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Clear Smog,Grass Knot,Rage Powder,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Ghost,Surging Strikes,Close Combat,Aqua Jet,U-turn,Dragonite,Assault Vest,Inner Focus,Normal,Extreme Speed,Aerial Ace,Stomping Tantrum,Thunder Punch,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Ice Spinner,Sacred Sword,Protect,Sucker Punch,Ogerpon-Hearthflame,Hearthflame Mask,Mold Breaker,Fire,Ivy Cudgel,Spiky Shield,Horn Leech,Stomping Tantrum
Farigiraf,Safety Goggles,Armor Tail,Fairy,Psychic,Dazzling Gleam,Nasty Plot,Trick Room,Iron Jugulis,Booster Energy,Quark Drive,Poison,Protect,Air Slash,Snarl,Tailwind,Amoonguss,Sitrus Berry,Regenerator,Fairy,Rage Powder,Spore,Pollen Puff,Clear Smog,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Incineroar,Rocky Helmet,Intimidate,Grass,Parting Shot,Knock Off,Flare Blitz,Fake Out,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Protect,Hyper Voice,Blood Moon,Earth Power
Incineroar,Assault Vest,Intimidate,Grass,Flare Blitz,Fake Out,U-turn,Knock Off,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Detect,Close Combat,Aqua Jet,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Spiky Shield,Follow Me,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Moonblast,Icy Wind,Dazzling Gleam,Protect,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic Noise,Dazzling Gleam,Trick Room,Helping Hand,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect
Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sludge Bomb,Substitute,Protect,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Focus Sash,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Protect,Rillaboom,Meadow Plate,Grassy Surge,Grass,Fake Out,Grassy Glide,Taunt,Wood Hammer,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Swords Dance,Protect,Gouging Fire,Booster Energy,Protosynthesis,Fairy,Heat Crash,Breaking Swipe,Howl,Burning Bulwark
Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Horn Leech,Ivy Cudgel,Swords Dance,Spiky Shield,Kingambit,Assault Vest,Defiant,Dragon,Kowtow Cleave,Sucker Punch,Low Kick,Iron Head,Articuno,Never-Melt Ice,Snow Cloak,Fire,Tailwind,Freeze-Dry,Blizzard,Protect,Ninetales-Alola,Light Clay,Snow Warning,Water,Icy Wind,Aurora Veil,Moonblast,Encore,Magmar,Eviolite,Flame Body,Grass,Taunt,Overheat,Follow Me,Protect,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Protect,Sludge Bomb,Sandsear Storm
Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn,Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
Gholdengo,Leftovers,Good as Gold,Fairy,Make It Rain,Nasty Plot,Shadow Ball,Protect,Hatterene,Light Clay,Magic Bounce,Steel,Dazzling Gleam,Reflect,Light Screen,Trick Room,Ursaluna,Flame Orb,Guts,Normal,Facade,Swords Dance,Earthquake,Protect,Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Clear Smog,Incineroar,Safety Goggles,Intimidate,Dragon,Flare Blitz,Fake Out,Knock Off,Parting Shot,Porygon2,Eviolite,Trace,Flying,Tera Blast,Trick Room,Eerie Impulse,Recover
Tornadus,Covert Cloak,Prankster,Dark,Bleakwind Storm,Tailwind,Icy Wind,Rain Dance,Iron Crown,Booster Energy,Quark Drive,Psychic,Expanding Force,Tachyon Cutter,Calm Mind,Protect,Ursaluna,Flame Orb,Guts,Ghost,Facade,Earthquake,Headlong Rush,Protect,Indeedee-F,Rocky Helmet,Psychic Surge,Fairy,Dazzling Gleam,Follow Me,Trick Room,Imprison,Urshifu-Rapid-Strike,Choice Band,Unseen Fist,Water,Surging Strikes,Close Combat,U-turn,Ice Spinner,Zapdos-Galar,Choice Scarf,Defiant,Fire,Brave Bird,Thunderous Kick,Close Combat,U-turn
Gallade,Clear Amulet,Sharpness,Grass,Wide Guard,Trick Room,Sacred Sword,Psycho Cut,Hatterene,Life Orb,Magic Bounce,Fire,Expanding Force,Dazzling Gleam,Protect,Trick Room,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Stellar,Surging Strikes,Ice Spinner,Close Combat,U-turn,Indeedee-F,Rocky Helmet,Psychic Surge,Water,Follow Me,Dazzling Gleam,Helping Hand,Trick Room,Torkoal,Charcoal,Drought,Fire,Protect,Weather Ball,Earth Power,Eruption,Kingambit,Black Glasses,Defiant,Dragon,Kowtow Cleave,Protect,Swords Dance,Sucker Punch
Ursaluna,Flame Orb,Guts,Ghost,Protect,Earthquake,Headlong Rush,Facade,Indeedee-F,Sitrus Berry,Psychic Surge,Fairy,Follow Me,Trick Room,Dazzling Gleam,Helping Hand,Urshifu,Focus Sash,Unseen Fist,Dark,Protect,Wicked Blow,Close Combat,Sucker Punch,Flutter Mane,Booster Energy,Protosynthesis,Fairy,Protect,Moonblast,Shadow Ball,Icy Wind,Dusclops,Eviolite,Pressure,Grass,Pain Split,Night Shade,Trick Room,Haze,Iron Crown,Life Orb,Quark Drive,Water,Protect,Tera Blast,Expanding Force,Tachyon Cutter
Amoonguss,Sitrus Berry,Regenerator,Water,Spore,Rage Powder,Pollen Puff,Protect,Archaludon,Assault Vest,Stamina,Grass,Heavy Slam,Draco Meteor,Body Press,Snarl,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Shadow Ball,Moonblast,Dazzling Gleam,Thunderbolt,Roaring Moon,Booster Energy,Protosynthesis,Flying,Knock Off,Acrobatics,Dragon Dance,Protect,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Water,Surging Strikes,Close Combat,Aqua Jet,U-turn,Incineroar,Safety Goggles,Intimidate,Ghost,Fake Out,Flare Blitz,Knock Off,Parting Shot
Pelipper,Focus Sash,Drizzle,Ghost,Weather Ball,Tailwind,Hurricane,Wide Guard,Landorus,Life Orb,Sheer Force,Poison,Earth Power,Sandsear Storm,Sludge Bomb,Protect,Incineroar,Sitrus Berry,Intimidate,Grass,Knock Off,Flare Blitz,Fake Out,Parting Shot,Archaludon,Assault Vest,Stamina,Bug,Body Press,Electro Shot,Flash Cannon,Draco Meteor,Amoonguss,Rocky Helmet,Regenerator,Water,Clear Smog,Spore,Pollen Puff,Rage Powder,Urshifu-Rapid-Strike,Choice Scarf,Unseen Fist,Grass,Surging Strikes,Close Combat,U-turn,Aqua Jet
Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Shadow Ball,Dazzling Gleam,Icy Wind,Tornadus,Rocky Helmet,Prankster,Steel,Protect,Tailwind,Taunt,Bleakwind Storm,Glimmora,Power Herb,Toxic Debris,Grass,Spiky Shield,Sludge Bomb,Earth Power,Meteor Beam,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me,Arcanine-Hisui,Choice Band,Intimidate,Fairy,Flare Blitz,Rock Slide,Extreme Speed,Head Smash,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect
Annihilape,Leftovers,Defiant,Water,Rage Fist,Drain Punch,Protect,Bulk Up,Rillaboom,Assault Vest,Grassy Surge,Fire,Fake Out,Grassy Glide,Wood Hammer,High Horsepower,Raging Bolt,Booster Energy,Protosynthesis,Grass,Thunderclap,Dragon Pulse,Calm Mind,Protect,Chien-Pao,Focus Sash,Sword of Ruin,Ghost,Icicle Crash,Throat Chop,Haze,Protect,Sableye,Light Clay,Prankster,Steel,Light Screen,Reflect,Will-O-Wisp,Taunt,Comfey,Sitrus Berry,Triage,Steel,Protect,Draining Kiss,Floral Healing,Trick Room
Farigiraf,Sitrus Berry,Armor Tail,Fairy,Psychic,Dazzling Gleam,Trick Room,Helping Hand,Incineroar,Assault Vest,Intimidate,Grass,Fake Out,Flare Blitz,Knock Off,U-turn,Ogerpon-Wellspring,Wellspring Mask,Water Absorb,Water,Ivy Cudgel,Horn Leech,Follow Me,Spiky Shield,Ursaluna-Bloodmoon,Life Orb,Mind’s Eye,Normal,Blood Moon,Hyper Voice,Earth Power,Protect,Urshifu,Focus Sash,Unseen Fist,Dark,Wicked Blow,Close Combat,Sucker Punch,Detect,Flutter Mane,Choice Specs,Protosynthesis,Fairy,Moonblast,Dazzling Gleam,Shadow Ball,Icy Wind
