"Pokémon","Objeto","Habilidad","Teratipo","Torneo","Nombre","cluster","Movimiento"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Antonio Sánchez","American Balance","Moonblast"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Antonio Sánchez","American Balance","Shadow Ball"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Antonio Sánchez","American Balance","Calm Mind"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Antonio Sánchez","American Balance","Protect"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Antonio Sánchez","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Antonio Sánchez","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Antonio Sánchez","American Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Antonio Sánchez","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Antonio Sánchez","American Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Antonio Sánchez","American Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Antonio Sánchez","American Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Antonio Sánchez","American Balance","Fake Out"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Antonio Sánchez","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Antonio Sánchez","American Balance","Grassy Glide"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Antonio Sánchez","American Balance","Swords Dance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Antonio Sánchez","American Balance","Spiky Shield"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Antonio Sánchez","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Antonio Sánchez","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Antonio Sánchez","American Balance","U-turn"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Antonio Sánchez","American Balance","Aqua Jet"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Shadow Ball"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Calm Mind"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Moonblast"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Protect"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Grassy Glide"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Spiky Shield"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Swords Dance"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","U-turn"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Trick Room"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Hyper Voice"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Psychic"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Protect"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","U-turn"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-liverpool","Baris ⼥2><82><ac>oBillaVGC⼥2><82><ac> Akcos","American Balance","Flare Blitz"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-knoxville","Jeongbin Pak","American Balance","Protect"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-knoxville","Jeongbin Pak","American Balance","Trick Room"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-knoxville","Jeongbin Pak","American Balance","Hyper Voice"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-knoxville","Jeongbin Pak","American Balance","Psychic"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-knoxville","Jeongbin Pak","American Balance","Spiky Shield"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-knoxville","Jeongbin Pak","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-knoxville","Jeongbin Pak","American Balance","Grassy Glide"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-knoxville","Jeongbin Pak","American Balance","Swords Dance"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-knoxville","Jeongbin Pak","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-knoxville","Jeongbin Pak","American Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-knoxville","Jeongbin Pak","American Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-knoxville","Jeongbin Pak","American Balance","Flare Blitz"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-knoxville","Jeongbin Pak","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-knoxville","Jeongbin Pak","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-knoxville","Jeongbin Pak","American Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-knoxville","Jeongbin Pak","American Balance","U-turn"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-knoxville","Jeongbin Pak","American Balance","Protect"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-knoxville","Jeongbin Pak","American Balance","Moonblast"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-knoxville","Jeongbin Pak","American Balance","Shadow Ball"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-knoxville","Jeongbin Pak","American Balance","Calm Mind"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-knoxville","Jeongbin Pak","American Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-knoxville","Jeongbin Pak","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-knoxville","Jeongbin Pak","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-knoxville","Jeongbin Pak","American Balance","U-turn"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Louis Markl","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Louis Markl","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Louis Markl","American Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Louis Markl","American Balance","U-turn"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Louis Markl","American Balance","Moonblast"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Louis Markl","American Balance","Shadow Ball"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Louis Markl","American Balance","Calm Mind"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Louis Markl","American Balance","Protect"
"Rillaboom","Assault Vest","Grassy Surge","Fire","special-utrecht","Louis Markl","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","special-utrecht","Louis Markl","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","special-utrecht","Louis Markl","American Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Fire","special-utrecht","Louis Markl","American Balance","Fake Out"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Louis Markl","American Balance","Hyper Voice"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Louis Markl","American Balance","Psychic"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Louis Markl","American Balance","Trick Room"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Louis Markl","American Balance","Protect"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Louis Markl","American Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Louis Markl","American Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Louis Markl","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Louis Markl","American Balance","Knock Off"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Louis Markl","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Louis Markl","American Balance","Grassy Glide"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Louis Markl","American Balance","Swords Dance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Louis Markl","American Balance","Spiky Shield"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Menelik Collymore","American Balance","Spiky Shield"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Menelik Collymore","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Menelik Collymore","American Balance","Swords Dance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Menelik Collymore","American Balance","Grassy Glide"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Menelik Collymore","American Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Menelik Collymore","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Menelik Collymore","American Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Menelik Collymore","American Balance","Flare Blitz"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Menelik Collymore","American Balance","Protect"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Menelik Collymore","American Balance","Psychic"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Menelik Collymore","American Balance","Hyper Voice"
"Farigiraf","Throat Spray","Armor Tail","Fairy","special-utrecht","Menelik Collymore","American Balance","Trick Room"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Menelik Collymore","American Balance","Protect"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Menelik Collymore","American Balance","Moonblast"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Menelik Collymore","American Balance","Calm Mind"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","special-utrecht","Menelik Collymore","American Balance","Shadow Ball"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Menelik Collymore","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Menelik Collymore","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Menelik Collymore","American Balance","U-turn"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Menelik Collymore","American Balance","Aqua Jet"
"Rillaboom","Assault Vest","Grassy Surge","Poison","special-utrecht","Menelik Collymore","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Poison","special-utrecht","Menelik Collymore","American Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Poison","special-utrecht","Menelik Collymore","American Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Poison","special-utrecht","Menelik Collymore","American Balance","Wood Hammer"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Sven van der Voorden","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Sven van der Voorden","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Sven van der Voorden","American Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","special-utrecht","Sven van der Voorden","American Balance","U-turn"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","special-utrecht","Sven van der Voorden","American Balance","Grassy Glide"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","special-utrecht","Sven van der Voorden","American Balance","Fake Out"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","special-utrecht","Sven van der Voorden","American Balance","Wood Hammer"
"Rillaboom","Miracle Seed","Grassy Surge","Fire","special-utrecht","Sven van der Voorden","American Balance","Taunt"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Sven van der Voorden","American Balance","Grassy Glide"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Sven van der Voorden","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Sven van der Voorden","American Balance","Swords Dance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","special-utrecht","Sven van der Voorden","American Balance","Spiky Shield"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","special-utrecht","Sven van der Voorden","American Balance","Electroweb"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","special-utrecht","Sven van der Voorden","American Balance","Thunderclap"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","special-utrecht","Sven van der Voorden","American Balance","Draco Meteor"
"Raging Bolt","Assault Vest","Protosynthesis","Fairy","special-utrecht","Sven van der Voorden","American Balance","Snarl"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Sven van der Voorden","American Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Sven van der Voorden","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Sven van der Voorden","American Balance","Will-O-Wisp"
"Incineroar","Safety Goggles","Intimidate","Ghost","special-utrecht","Sven van der Voorden","American Balance","Parting Shot"
"Landorus","Life Orb","Sheer Force","Steel","special-utrecht","Sven van der Voorden","American Balance","Earth Power"
"Landorus","Life Orb","Sheer Force","Steel","special-utrecht","Sven van der Voorden","American Balance","Sludge Bomb"
"Landorus","Life Orb","Sheer Force","Steel","special-utrecht","Sven van der Voorden","American Balance","Substitute"
"Landorus","Life Orb","Sheer Force","Steel","special-utrecht","Sven van der Voorden","American Balance","Protect"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-charlotte","Wolfe Glick","American Balance","Surging Strikes"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-charlotte","Wolfe Glick","American Balance","Close Combat"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-charlotte","Wolfe Glick","American Balance","Aqua Jet"
"Urshifu-Rapid-Strike","Choice Scarf","Unseen Fist","Water","regional-charlotte","Wolfe Glick","American Balance","U-turn"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-charlotte","Wolfe Glick","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-charlotte","Wolfe Glick","American Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-charlotte","Wolfe Glick","American Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","regional-charlotte","Wolfe Glick","American Balance","Parting Shot"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-charlotte","Wolfe Glick","American Balance","Protect"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-charlotte","Wolfe Glick","American Balance","Shadow Ball"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-charlotte","Wolfe Glick","American Balance","Moonblast"
"Flutter Mane","Booster Energy","Protosynthesis","Grass","regional-charlotte","Wolfe Glick","American Balance","Calm Mind"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-charlotte","Wolfe Glick","American Balance","Protect"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-charlotte","Wolfe Glick","American Balance","Psychic"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-charlotte","Wolfe Glick","American Balance","Hyper Voice"
"Farigiraf","Throat Spray","Armor Tail","Fairy","regional-charlotte","Wolfe Glick","American Balance","Trick Room"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-charlotte","Wolfe Glick","American Balance","Spiky Shield"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-charlotte","Wolfe Glick","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-charlotte","Wolfe Glick","American Balance","Swords Dance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","regional-charlotte","Wolfe Glick","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-charlotte","Wolfe Glick","American Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-charlotte","Wolfe Glick","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-charlotte","Wolfe Glick","American Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Poison","regional-charlotte","Wolfe Glick","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","U-turn"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Wood Hammer"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Grassy Glide"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Fake Out"
"Rillaboom","Assault Vest","Grassy Surge","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","U-turn"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Grassy Glide"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Swords Dance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Spiky Shield"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Ivy Cudgel"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Grassy Glide"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Swords Dance"
"Ogerpon-Hearthflame","Hearthflame Mask","Mold Breaker","Fire","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Spiky Shield"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Fake Out"
"Incineroar","Safety Goggles","Intimidate","Ghost","HIMMY POKEMON DAY WEEK GLIZZY BASH (100$ FOR 1ST)","striker","American Balance","Parting Shot"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Flare Blitz"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Knock Off"
"Incineroar","Safety Goggles","Intimidate","Ghost","Pokemon Day Week x Saturday Night Rumble #41","striker","American Balance","Fake Out"
